"","lon","lat"
"3107",-82.907123,40.4172871
"3108",-95.712891,37.09024
"3109",-103.3496092,20.6596988
"3110",-99.2215659,18.9242095
"3111",-7.6920536,53.1423672
"3112",-103.3496092,20.6596988
"3113",-92.6238082,44.8613563
"3114",24.9383791,60.1698557
"3115",-99.3995924,17.567656
"3116",-99.3995924,17.567656
"3117",-119.4179324,36.778261
"3118",-91.1279349,41.7697434
"3119",-74.0059728,40.7127753
"3120",-99.9018131,31.9685988
"3121",-88.3161965,42.2411344
"3122",-88.7878678,43.7844397
"3123",-88.7878678,43.7844397
"3124",NA,NA
"3125",-88.296146,18.5001889
"3126",-99.9018131,31.9685988
"3127",NA,NA
"3128",NA,NA
"3129",-122.310118,47.6076339
"3130",NA,NA
"3131",-95.712891,37.09024
"3132",-73.3467167,42.2024768
"3133",NA,NA
"3134",-84.3879824,33.7489954
"3135",-90.1994042,38.6270025
"3136",-93.097702,41.8780025
"3137",-103.416501,20.6719563
"3138",-101.0020119,47.5514926
"3139",-100.973678,25.4383234
"3140",-104.990251,39.7392358
"3141",-122.6252431,45.5049376
"3142",-73.3467167,42.2024768
"3143",-98.4189061,21.1392412
"3144",-94.8672793,42.0655986
"3145",-97.1383744,49.895136
"3146",-97.1383744,49.895136
"3147",-102.2915677,21.8852562
"3148",-85.7584557,38.2526647
"3149",-85.7584557,38.2526647
"3150",-98.2062727,19.0414398
"3151",-91.8318334,35.20105
"3152",-73.3467167,42.2024768
"3153",-100.973678,25.4383234
"3154",-79.3831843,43.653226
"3155",-94.7082951,37.8397626
"3156",-86.954437,33.4017766
"3157",-96.7265889,17.0731842
"3158",-102.5832426,22.7708555
"3159",NA,NA
"3160",-100.9855409,22.1564699
"3161",-100.9855409,22.1564699
"3162",-100.9855409,22.1564699
"3163",-101.1949825,19.7059504
"3164",-99.245302,19.4630841
"3165",NA,NA
"3166",-94.6858998,46.729553
"3167",-95.6143316,37.039147
"3168",-95.712891,37.09024
"3169",-74.0059728,40.7127753
"3170",-74.0059728,40.7127753
"3171",-74.0059728,40.7127753
"3172",-74.0059728,40.7127753
"3173",-74.0059728,40.7127753
"3174",-99.6556653,19.2826098
"3175",-95.712891,37.09024
"3176",NA,NA
"3177",-106.443587,31.747562
"3178",-71.1166601,42.3770029
"3179",-73.3467167,42.2024768
"3180",2.3522219,48.856614
"3181",-73.3467167,42.2024768
"3182",-71.1166601,42.3770029
"3183",-78.6568942,37.4315734
"3184",NA,NA
"3185",-103.3496092,20.6596988
"3186",-103.3496092,20.6596988
"3187",NA,NA
"3188",NA,NA
"3189",NA,NA
"3190",NA,NA
"3191",-83.5378674,41.6528052
"3192",-103.3496092,20.6596988
"3193",-95.266826,36.249758
"3194",-82.9000751,32.1656221
"3195",-81.5157535,27.6648274
"3196",-99.9018131,31.9685988
"3197",-79.3831843,43.653226
"3198",-73.3467167,42.2024768
"3199",-95.9345034,41.2565369
"3200",-74.0059728,40.7127753
"3201",-74.0059728,40.7127753
"3202",NA,NA
"3203",-94.6858998,46.729553
"3204",-99.6556653,19.2826098
"3205",-104.0072348,19.1222634
"3206",-71.0588801,42.3600825
"3207",NA,NA
"3208",-104.990251,39.7392358
"3209",-86.7816016,36.1626638
"3210",NA,NA
"3211",NA,NA
"3212",-93.2650108,44.977753
"3213",-121.6543901,37.1305012
"3214",-84.2946539,37.7478572
"3215",-102.5832426,22.7708555
"3216",-106.346771,56.130366
"3217",NA,NA
"3218",-74.4056612,40.0583238
"3219",33.429859,35.126413
"3220",NA,NA
"3221",-106.346771,56.130366
"3222",-77.1527578,39.0839973
"3223",-71.4774291,41.5800945
"3224",-96.8622524,37.81724
"3225",-95.712891,37.09024
"3226",NA,NA
"3227",-83.7430378,42.2808256
"3228",-81.6943605,41.49932
"3229",-74.297333,4.570868
"3230",-95.9345034,41.2565369
"3231",-78.6568942,37.4315734
"3232",-75.1969346,39.8422093
"3233",-78.6381787,35.7795897
"3234",-73.4742914,40.6806563
"3235",-73.4742914,40.6806563
"3236",-73.4742914,40.6806563
"3237",NA,NA
"3238",NA,NA
"3239",-101.2174256,27.9372635
"3240",NA,NA
"3241",-82.9987942,39.9611755
"3242",NA,NA
"3243",-83.611587,39.2022866
"3244",-94.6858998,46.729553
"3245",-1.1581086,52.9547832
"3246",-95.7243335,37.2321077
"3247",-73.3467167,42.2024768
"3248",NA,NA
"3249",-78.6568942,37.4315734
"3250",-75.4921248,40.3909328
"3251",-76.6121893,39.2903848
