"","lon","lat"
"1613",-87.9403418,41.8994744
"1614",NA,NA
"1615",-121.9357918,37.7021521
"1616",121.774017,12.879721
"1617",-81.5157535,27.6648274
"1618",-0.1277583,51.5073509
"1619",-98.4936282,29.4241219
"1620",-80.1917902,25.7616798
"1621",-84.3879824,33.7489954
"1622",NA,NA
"1623",-94.6858998,46.729553
"1624",-118.2436849,34.0522342
"1625",NA,NA
"1626",NA,NA
"1627",-73.9824284,40.7821738
"1628",NA,NA
"1629",NA,NA
"1630",-84.4277001,33.6407282
"1631",-84.4277001,33.6407282
"1632",-84.4277001,33.6407282
"1633",-95.266826,36.249758
"1634",-95.712891,37.09024
"1635",NA,NA
"1636",NA,NA
"1637",-97.0328547,47.9252568
"1638",19.145136,51.919438
"1639",-71.0588801,42.3600825
"1640",-77.297508,18.109581
"1641",-89.3985283,32.3546679
"1642",NA,NA
"1643",-85.323214,51.253775
"1644",-74.511172,40.3025907
"1645",-104.990251,39.7392358
"1646",-104.990251,39.7392358
"1647",-84.2700179,37.8393332
"1648",-78.8783689,42.8864468
"1649",120.8969634,14.4791297
"1650",-115.1745559,36.1023715
"1651",NA,NA
"1652",20.2503358,49.7225306
"1653",-77.3063733,38.8462236
"1654",NA,NA
"1655",NA,NA
"1656",-57.9535657,-34.9204948
"1657",-73.4529124,44.6994873
"1658",-95.3698028,29.7604267
"1659",-74.0059728,40.7127753
"1660",-102.552784,23.634501
"1661",-106.346771,56.130366
"1662",NA,NA
"1663",-96.8590818,33.1537826
"1664",-75.5276699,38.9108325
"1665",NA,NA
"1666",-79.4377991,36.0956918
"1667",NA,NA
"1668",-77.4360481,37.5407246
"1669",-95.712891,37.09024
"1670",-86.9352842,34.4434282
"1671",-91.8318334,35.20105
"1672",-119.4179324,36.778261
"1673",NA,NA
"1674",NA,NA
"1675",-63.616672,-38.416097
"1676",NA,NA
"1677",-89.5356094,14.9676218
"1678",-92.0198427,30.2240897
"1679",-106.4508639,52.9399159
"1680",-46.6333094,-23.5505199
"1681",-112.0740373,33.4483771
"1682",-81.5157535,27.6648274
"1683",-81.5157535,27.6648274
"1684",-4.6679959,55.3649698
"1685",-4.6679959,55.3649698
"1686",NA,NA
"1687",-95.716216,37.2266829
"1688",NA,NA
"1689",-77.4360481,37.5407246
"1690",-88.0398912,30.6953657
"1691",NA,NA
"1692",NA,NA
"1693",-77.0283092,38.6676168
"1694",113.921327,-0.789275
"1695",NA,NA
"1696",-105.5911007,41.3113669
"1697",-73.7123408,43.4261809
"1698",-80.8556476,33.4918203
"1699",-84.2700179,37.8393332
"1700",-84.2700179,37.8393332
